Galaxy 12+log(O/H) MHI err_MHI MH2 Mgas err_Mgas mean_logNH Mdust err_Mdust
NGC3521 8.39 8710000000.0 1400568000.0 19000000000.0 27710000000.0 1400568000.0 3.749701725613258e+21 70800000.0 8552640.0
NGC3627 8.34 846000000.0 136036799.99999997 16100000000.0 16946000000.0 136036799.99999997 3.4427246267243823e+21 40400000.0 3038080.0
NGC3773 8.43 90300000.0 14520239.999999998 164000000.0 254300000.0 14520239.999999998 7.904356420307313e+20 756000.0 94197.6
NGC3938 8.42 8000000000.0 1286399999.9999998 15200000000.0 23200000000.0 1286399999.9999998 3.6255200664923967e+21 46500000.0 6147300.0
NGC4236 8.17 2690000000.0 432551999.99999994 1020000000.0 3710000000.0 432551999.99999994 1.1812219037729145e+21 2670000.0 387417.0
NGC4254 8.45 3760000000.0 604607999.9999999 20600000000.0 24360000000.0 604607999.9999999 1.476583968324446e+21 58300000.0 5509350.0
NGC4321 8.50 2390000000.0 384311999.99999994 12800000000.0 15190000000.0 384311999.99999994 5.0120664189267385e+20 72300000.0 8415720.0
NGC4536 8.21 1730000000.0 278183999.99999994 15700000000.0 17430000000.0 278183999.99999994 7.044785665203042e+20 31100000.0 3672910.0
NGC4559 8.29 4090000000.0 657671999.9999999 1210000000.0 5300000000.0 657671999.9999999 5.1422766201605456e+20 9560000.0 1142420.0
NGC4569 8.58 155000000.0 24923999.999999996 1900000000.0 2055000000.0 24923999.999999996 7.561611201212937e+19 15800000.0 1061760.0
NGC4579 8.54 547000000.0 87957600.0 3770000000.0 4317000000.0 87957600.0 2.3924608928009883e+20 33000000.0 1973400.0
NGC4594 8.54 260000000.0 41807999.99999999 431000000.0 691000000.0 41807999.99999999 7.433160452777424e+19 20600000.0 3516420.0
NGC4625 8.35 1000000000.0 160799999.99999997 100000000.0 1100000000.0 160799999.99999997 1.793940286731877e+21 1990000.0 295913.0
NGC4631 8.12 8770000000.0 1410216000.0 15200000000.0 23970000000.0 1410216000.0 4.349681395200494e+21 34800000.0 3271200.0
NGC4725 8.35 3590000000.0 577271999.9999999 10300000000.0 13890000000.0 577271999.9999999 3.593142616593993e+20 44500000.0 4387700.0
NGC4736 8.31 403000000.0 64802399.99999999 2540000000.0 2943000000.0 64802399.99999999 6.322442495814766e+20 5640000.0 636192.0
NGC4826 8.54 277000000.0 44541600.0 958000000.0 1235000000.0 44541600.0 4.4839565863172774e+20 4310000.0 348248.0
NGC5055 8.40 5590000000.0 898871999.9999999 10400000000.0 15990000000.0 898871999.9999999 1.6124160684945168e+21 53900000.0 4425190.000000001
NGC5408 7.81 322000000.0 51777599.99999999 218000000.0 540000000.0 51777599.99999999 1.2593886253241984e+22 85000.0 21828.0
NGC5713 8.24 5510000000.0 886007999.9999999 26900000000.0 32410000000.0 886007999.9999999 4.0124805740375085e+21 27800000.0 2135040.0
NGC6946 8.40 3580000000.0 575663999.9999999 17100000000.0 20680000000.0 575663999.9999999 3.729690253345853e+21 72700000.0 4536480.0
NGC7331 8.34 8850000000.0 1423080000.0 33600000000.0 42450000000.0 1423080000.0 2.7269246910337196e+21 105000000.0 8998500.0
