element	weight
C	12.01
N	14.01
O	16.00
Mg	24.3
Si	28.1
P	30.97
Cl	35.46
Ti	47.867
Cr	52.
Mn	54.94
Fe	55.85
Ni	58.7
Cu	63.55
Zn	65.4
Ge	72.64
Kr	83.798
S	32.06
