wave flux_norm flux_err cont_fit cont_err
1140.46875 1.0594533681869507 0.2950302064418793 2.061569138125008e-15 0.03980357904169479
1140.4786376953125 0.7992458939552307 0.2719671428203583 2.060408491229033e-15 0.03949059643857132
1140.4886474609375 0.7299339175224304 0.26648861169815063 2.0592366211465065e-15 0.03917948575085442
1140.4986572265625 1.2236493825912476 0.3107444643974304 2.0580675039210588e-15 0.03887403035161436
1140.508544921875 0.7323518395423889 0.2655072510242462 2.0569157508710297e-15 0.03856672581645992
1140.5185546875 0.7719756960868835 0.27114877104759216 2.0557525628762128e-15 0.038261400116502496
1140.528564453125 1.0867908000946045 0.30040881037712097 2.054592551254948e-15 0.037958081837965334
1140.5384521484375 1.0089844465255737 0.29348066449165344 2.0534494802926283e-15 0.037660476941444546
1140.5484619140625 1.082811713218689 0.2999139726161957 2.0522953979019943e-15 0.03736127159704122
1140.5584716796875 1.2197397947311401 0.31068822741508484 2.051144068368439e-15 0.037064185896742645
1140.568359375 0.9419426918029785 0.2874719202518463 2.0500098912520654e-15 0.03677285869079953
1140.578369140625 1.0929800271987915 0.3008168339729309 2.0488647027073776e-15 0.036480117097424276
1140.58837890625 1.129593014717102 0.3030233085155487 2.047722478778005e-15 0.03618962028476746
1140.5982666015625 0.9417911171913147 0.2868801951408386 2.046597195507578e-15 0.03590491310947397
1140.6082763671875 0.7492367625236511 0.27192118763923645 2.045460900808836e-15 0.035618986572781515
1140.6182861328125 1.011160135269165 0.2964877486228943 2.04432757072541e-15 0.03533544299553864
1140.628173828125 1.2756822109222412 0.3176506757736206 2.043210969542692e-15 0.03505770223778341
1140.63818359375 1.1466829776763916 0.3079475462436676 2.0420837804481333e-15 0.03477897446980711
1140.648193359375 0.9198949933052063 0.29007384181022644 2.04095955596889e-15 0.034502731022637206
1140.658203125 0.9860908389091492 0.2952912151813507 2.039838296104962e-15 0.03423233946569586
1140.6680908203125 0.844484269618988 0.28342026472091675 2.0387335533835057e-15 0.03396116945600803
1140.6781005859375 0.7076988816261292 0.26983338594436646 2.0376182227502086e-15 0.0336926115406772
1140.6881103515625 1.0997228622436523 0.3054738938808441 2.0365060684904637e-15 0.03342994828968227
1140.697998046875 0.7969762086868286 0.2804982364177704 2.0354102196149535e-15 0.03316671408511062
1140.7080078125 0.9608424305915833 0.294802188873291 2.0343039945858394e-15 0.03290623347624846
1140.718017578125 0.8872531652450562 0.28737667202949524 2.0332007341720406e-15 0.03265166305887624
1140.7279052734375 1.1241059303283691 0.3073422312736511 2.0321139909007134e-15 0.03239676259334902
1140.7379150390625 0.8009006381034851 0.27810633182525635 2.0310166597175454e-15 0.0321447390304612
1140.7479248046875 0.7261393666267395 0.27052515745162964 2.0299225049079297e-15 0.03189865529029707
1140.7578125 1.047310709953308 0.3045637011528015 2.0288446554825486e-15 0.031652481788779656
1140.767822265625 0.9855279326438904 0.2992774248123169 2.0277564299035636e-15 0.03140930647202075
1140.77783203125 0.7299574613571167 0.27291256189346313 2.026671380698131e-15 0.031172097978885413
1140.7877197265625 0.9027039408683777 0.2922346293926239 2.025602425118696e-15 0.03093503539491628
1140.7977294921875 1.0644996166229248 0.3029821813106537 2.0245235169021308e-15 0.030701110348091015
1140.8077392578125 1.045383334159851 0.3043244779109955 2.023447361542644e-15 0.03047315926240398
1140.817626953125 1.0856684446334839 0.3079383373260498 2.0223875115673922e-15 0.030245599474910154
1140.82763671875 1.127050757408142 0.30842792987823486 2.0213174971967732e-15 0.03002130779866727
1140.837646484375 0.9818221926689148 0.2979300022125244 2.0202506591997065e-15 0.02980300146398725
1140.8475341796875 1.1158558130264282 0.3066297769546509 2.0191997030704007e-15 0.029585337071228904
1140.8575439453125 0.8422149419784546 0.2825331389904022 2.0181387943039647e-15 0.029371060533719285
1140.8675537109375 0.9327310919761658 0.2914072275161743 2.017081061911081e-15 0.02916022403367837
1140.87744140625 0.9656147360801697 0.2930300533771515 2.016039211385958e-15 0.028955369308765366
1140.887451171875 1.3909200429916382 0.3264801800251007 2.014987619981942e-15 0.028751485227758097
1140.8974609375 0.8580989241600037 0.28335410356521606 2.013938993193241e-15 0.028551156642566855
1140.9073486328125 0.9745636582374573 0.29441192746162415 2.0129062482723012e-15 0.02835680414920849
1140.9173583984375 0.9180084466934204 0.28753340244293213 2.011863550714231e-15 0.028163668527815648
1140.9273681640625 0.9181660413742065 0.2872123718261719 2.01082424128795e-15 0.027974198308521332
1140.937255859375 0.7741190195083618 0.2741878926753998 2.0098003902129565e-15 0.02779068628771532
1140.947265625 1.0841789245605469 0.30226126313209534 2.008767221775543e-15 0.027608627235636434
1140.957275390625 0.8003571033477783 0.2762899100780487 2.0077368061952082e-15 0.027430348032835217
1140.96728515625 1.0421520471572876 0.29827743768692017 2.0067097787466624e-15 0.027257983657852685
1140.9771728515625 0.7629927396774292 0.2715055048465729 2.005698209649404e-15 0.027087312087045432
1140.9871826171875 0.902025043964386 0.28577089309692383 2.004677111431489e-15 0.026920514889341246
1140.9971923828125 1.0048527717590332 0.29340678453445435 2.003659189587126e-15 0.026759585995807987
1141.007080078125 0.8323732018470764 0.27958375215530396 2.0026567260940506e-15 0.02660058015186418
1141.01708984375 0.8688762784004211 0.28369104862213135 2.0016449452385553e-15 0.02644552781295388
1141.027099609375 1.0072115659713745 0.295501708984375 2.0006361289983754e-15 0.026296278457286996
1141.0369873046875 0.8332680463790894 0.2798440158367157 1.9996429828677198e-15 0.026149165648198917
1141.0469970703125 1.0400394201278687 0.29790636897087097 1.9986403076164075e-15 0.026006080612512854
