wave flux_norm flux_err cont_fit cont_err
1140.4652099609375 0.7776251435279846 0.5998912453651428 1.0098757725177684e-15 0.04978556260175747
1140.4774169921875 1.0136257410049438 0.6353761553764343 1.0099744518561236e-15 0.0494032653163665
1140.4896240234375 0.9845079183578491 0.6263813376426697 1.010071648886821e-15 0.04902455107771456
1140.501953125 1.1146806478500366 0.6458296775817871 1.0101685282801632e-15 0.04865707807003086
1140.51416015625 0.7549395561218262 0.5938888788223267 1.0102630783329005e-15 0.04829722531187323
1140.5263671875 1.3122321367263794 0.66767418384552 1.0103562519570984e-15 0.04794171025185604
1140.5386962890625 1.6584720611572266 0.7140668034553528 1.0104490020648228e-15 0.04759771017149964
1140.5509033203125 0.9562318921089172 0.6164107918739319 1.0105394228319422e-15 0.047261852415542024
1140.5631103515625 1.65628981590271 0.7118266820907593 1.0106284671705223e-15 0.046931072167734816
1140.575439453125 1.1725434064865112 0.6458262205123901 1.0107170879926288e-15 0.04661208102984864
1140.587646484375 0.6214353442192078 0.5682089328765869 1.0108033794741303e-15 0.04630171972918087
1140.599853515625 0.8426979184150696 0.5990311503410339 1.010888400406211e-15 0.04600015519611153
1140.612060546875 1.0621583461761475 0.6316938400268555 1.0109720449097523e-15 0.04570465780134602
1140.6243896484375 1.1729918718338013 0.6467755436897278 1.01105526589682e-15 0.045421241772088575
1140.6365966796875 1.0610309839248657 0.6309838891029358 1.0111362634224012e-15 0.04514707196716473
1140.6488037109375 1.0564854145050049 0.6289476752281189 1.0112158845194431e-15 0.04487970431560178
1140.6611328125 0.6131892204284668 0.564353346824646 1.011294976220893e-15 0.044624568939289025
1140.67333984375 1.8391551971435547 0.7256251573562622 1.0113719503399747e-15 0.04437910392427067
1140.685546875 1.170884609222412 0.6465533971786499 1.0114476539096356e-15 0.04414112709336251
1140.6978759765625 0.8370445370674133 0.5986078977584839 1.011522722204586e-15 0.043915481930249516
1140.7100830078125 1.7284842729568481 0.7151145935058594 1.0115957787962867e-15 0.043699872293888234
1140.7222900390625 0.16674846410751343 0.4871402978897095 1.011667458959448e-15 0.04349440199776925
1140.7344970703125 0.722570538520813 0.5798943042755127 1.0117378685731886e-15 0.04329727491565956
1140.746826171875 1.276902675628662 0.6565089821815491 1.0118076429122187e-15 0.043112489327855934
1140.759033203125 1.2795838117599487 0.6581354737281799 1.0118755114271174e-15 0.042938115055203965
1140.771240234375 1.1646698713302612 0.6442434787750244 1.0119420035134769e-15 0.04277264226456211
1140.7835693359375 1.7198662757873535 0.7114347815513611 1.012007860325126e-15 0.04261941713263195
1140.7957763671875 0.7201340794563293 0.5781244039535522 1.0120718113126436e-15 0.042476798630055386
1140.8079833984375 1.6106637716293335 0.6977498531341553 1.012134385871622e-15 0.042344832906912634
1140.8203125 0.49632972478866577 0.5429966449737549 1.0121964310350084e-15 0.042222391721750144
1140.83251953125 1.0504409074783325 0.6277912855148315 1.012256464495145e-15 0.042111926878957436
1140.8447265625 1.380431890487671 0.6669052243232727 1.0123152274058608e-15 0.04201218520399796
1140.85693359375 0.6013367772102356 0.5574017763137817 1.0123728256462741e-15 0.04192233107211184
1140.8692626953125 0.37911251187324524 0.5199038982391357 1.0124296827328585e-15 0.04184413039907595
1140.8814697265625 0.7141698002815247 0.577518105506897 1.0124846339953117e-15 0.041776621593157266
1140.8936767578125 1.4900561571121216 0.6834558844566345 1.0125384205874623e-15 0.04171926140415601
1140.906005859375 0.8225370049476624 0.5935350060462952 1.0125913601466657e-15 0.04167313396356332
1140.918212890625 0.7079674601554871 0.5768324136734009 1.0126426056399746e-15 0.04163757085357319
1140.930419921875 0.820538341999054 0.593246579170227 1.0126925805838626e-15 0.04161250031097607
1140.942626953125 1.0426890850067139 0.6248971223831177 1.0127413908574481e-15 0.04159775563554881
1140.9549560546875 0.9340724945068359 0.6087163686752319 1.0127893540980864e-15 0.04159353650218765
1140.9671630859375 1.1596274375915527 0.6395237445831299 1.0128356232728302e-15 0.04159954959507258
1140.9793701171875 0.38164132833480835 0.5225884318351746 1.012880621898153e-15 0.041615897886761725
1140.99169921875 1.046697974205017 0.6256217956542969 1.012924879369647e-15 0.04164213372382828
1141.00390625 0.6021581888198853 0.5573623180389404 1.0129674427752466e-15 0.04167824797332564
1141.01611328125 1.156072735786438 0.6382859349250793 1.0130087356314253e-15 0.04172460072055324
1141.0284423828125 0.9339158535003662 0.6055206060409546 1.013049287333775e-15 0.04178013224419839
1141.0406494140625 0.04717361181974411 0.46284064650535583 1.0130882508493488e-15 0.04184509824650781
1141.0528564453125 1.0445042848587036 0.6230798959732056 1.0131259438155016e-15 0.04191933013507567
1141.0650634765625 0.2703416049480438 0.5002160668373108 1.013162472111352e-15 0.04200353588351252
1141.077392578125 0.6011472940444946 0.5577542781829834 1.0131980474951366e-15 0.04209587297283279
1141.089599609375 1.4882290363311768 0.6806446313858032 1.0132321405712636e-15 0.04219693910267001
1141.101806640625 1.046146273612976 0.6209051012992859 1.0132650689770881e-15 0.04230768632063166
1141.1141357421875 1.0414299964904785 0.622498095035553 1.0132971503499654e-15 0.04242571843314871
1141.1263427734375 1.1501340866088867 0.6363707780838013 1.0133276435360665e-15 0.04255189049758979
1141.1385498046875 1.5938284397125244 0.6906311511993408 1.0133569720518652e-15 0.04268737182755191
1141.15087890625 1.370922327041626 0.6654470562934875 1.0133853476555982e-15 0.042829267831445465
1141.1630859375 1.0373896360397339 0.6208049654960632 1.013412346830792e-15 0.04297866922871751
1141.17529296875 0.15629683434963226 0.4832088053226471 1.0134381813356832e-15 0.043135357383635504
